material_id,formula,mismatch_pct,E_ads_eV,S_lattice,S_adsorption,barrier_eV,S_diffusion,score_mode,score
mp-1065309,ZrAl3,0.688,-0.2353000044822693,0.914,0.4165,,,pre_neb,0.6297
mp-865093,TiZnNi2,1.072,-0.7519000172615051,0.866,0.4524,,,pre_neb,0.6297
mp-8282,Ti2N,1.281,-0.7455000281333923,0.8399,0.4708,,,pre_neb,0.629
mp-828,SiNi3,0.236,-0.7811999917030334,0.9705,0.3722,,,pre_neb,0.6286
mp-1077372,Zr2Cu,1.659,-0.2655999958515167,0.7926,0.5032,,,pre_neb,0.6272
mp-24422,CaHBr,3.149,-0.6880999803543091,0.6064,0.6426,,,pre_neb,0.6271
mp-17577,Ca6MnN5,2.815,-0.3009000122547149,0.6481,0.6093,,,pre_neb,0.6259
mp-18427,Nb2Al,4.856,-0.3666000068187713,0.393,0.8006,,,pre_neb,0.6259
mp-22906,CsBr,2.743,-0.7027000188827515,0.6571,0.5983,,,pre_neb,0.6235
mp-10884,AlFeCo2,0.436,-0.7777000069618225,0.9455,0.3814,,,pre_neb,0.6231
mp-672689,Hf6Co16Si7,0.092,-0.7914999723434448,0.9885,0.3457,,,pre_neb,0.6212
mp-1193952,Zr3(Ni10B3)2,0.726,-0.2310999929904937,0.9092,0.405,,,pre_neb,0.6211
mp-1079863,TiCo3,2.0,-0.7283999919891357,0.75,0.521,,,pre_neb,0.6191
mp-1221498,Mo2C,1.613,-0.741100013256073,0.7984,0.4835,,,pre_neb,0.6185
mp-1039382,CaMg2,0.906,-0.2354999929666519,0.8868,0.4171,,,pre_neb,0.6184
mp-1193908,V2(Co7B2)3,1.891,-0.7325000166893005,0.7636,0.5088,,,pre_neb,0.618
mp-7080,Li5(NiN)3,6.494,-0.429500013589859,0.1883,0.9398,,,pre_neb,0.6177
mp-2027,HfCo,5.39,-0.6195999979972839,0.3263,0.8363,,,pre_neb,0.6177
mp-27731,HfH2,1.324,-0.2483000010251999,0.8345,0.453,,,pre_neb,0.6165
mp-8926,Li3BN2,3.019,-0.3012000024318695,0.6226,0.6102,,,pre_neb,0.6155
mp-865875,Li3Ag,0.784,-0.2293000072240829,0.902,0.4001,,,pre_neb,0.6152
mp-1524274,KI,0.95,-0.2348999977111816,0.8812,0.4154,,,pre_neb,0.6151
mp-1192960,Zr6Fe16Si7,1.324,-0.753000020980835,0.8345,0.4493,,,pre_neb,0.6144
mp-1029659,Ca3FeN3,2.797,-0.70660001039505,0.6504,0.5865,,,pre_neb,0.6139
mp-976244,LiMg,1.092,-0.2388000041246414,0.8635,0.4262,,,pre_neb,0.6136
mp-867330,Al2FeNi,1.32,-0.753600001335144,0.835,0.4476,,,pre_neb,0.6136
mp-3909,ZrAlCo2,1.909,-0.7347000241279602,0.7614,0.5023,,,pre_neb,0.6133
mp-865805,TaZnCo2,0.288,-0.7901999950408936,0.964,0.349,,,pre_neb,0.6126
mp-570166,Zr6Si7Ni16,1.392,-0.24719999730587,0.826,0.4498,,,pre_neb,0.6111
mp-542728,Co21(B3Mo)2,1.576,-0.7470999956130981,0.803,0.4662,,,pre_neb,0.6105
mp-24161,TiH2,3.932,-0.3262999951839447,0.5085,0.6858,,,pre_neb,0.6098
mp-1215723,Zr(AlFe)6,5.452,-0.6244999766349792,0.3185,0.8239,,,pre_neb,0.6073
mp-1094600,LiMg2,1.81,-0.2576000094413757,0.7737,0.4798,,,pre_neb,0.6058
mp-554098,Ti6O,2.321,-0.2732999920845032,0.7099,0.526,,,pre_neb,0.6048
mp-746,Sr5Si3,0.807,-0.2223999947309494,0.8991,0.3816,,,pre_neb,0.6034
mp-10057,VCoB3,0.67,-0.7825999855995178,0.9162,0.3685,,,pre_neb,0.6033
mp-1193200,Zr6Al7Cu16,5.492,-0.6261000037193298,0.3135,0.8197,,,pre_neb,0.6028
mp-1188018,Zr3Al,2.705,-0.7164000272750854,0.6619,0.5569,,,pre_neb,0.6019
mp-1018099,Ba2NCl,0.667,-0.2161000072956085,0.9166,0.3651,,,pre_neb,0.6015
mp-1224283,HfTaB4,3.027,-0.2930999994277954,0.6216,0.5856,,,pre_neb,0.601
mp-4212,Nb3Co4B7,2.057,-0.2621999979019165,0.7429,0.4932,,,pre_neb,0.6002
mp-1029498,Li6CrN4,7.319,-0.4663000106811523,0.0851,0.9859,,,pre_neb,0.5999
mp-1786,Ti3Au,2.294,-0.2694999873638153,0.7132,0.5147,,,pre_neb,0.5998
mp-22489,HfCuSi,3.357,-0.3023000061511993,0.5804,0.6135,,,pre_neb,0.5993
mp-1189328,TiNi,2.478,-0.7250999808311462,0.6902,0.5308,,,pre_neb,0.5991
mp-1120739,CaCl2,0.705,-0.2157000005245208,0.9119,0.3641,,,pre_neb,0.5989
mp-1079399,V3Fe,2.91,-0.711899995803833,0.6362,0.5705,,,pre_neb,0.5987
mp-15642,SrMgSi,2.334,-0.2698999941349029,0.7083,0.5159,,,pre_neb,0.5983
mp-1029359,CaHfN2,3.671,-0.3109000027179718,0.5411,0.6396,,,pre_neb,0.5974
mp-11649,Ca3SiO,4.857,-0.3486000001430511,0.3929,0.7509,,,pre_neb,0.5974
mp-1224388,Hf3N2,6.036,-0.3896999955177307,0.2455,0.8589,,,pre_neb,0.596
mp-8418,ZrCoP,1.62,-0.245399996638298,0.7975,0.4447,,,pre_neb,0.5959
mp-7226,V3Ni,2.771,-0.718500018119812,0.6536,0.5506,,,pre_neb,0.5947
mp-864857,NbZnCo2,0.304,-0.8025000095367432,0.962,0.3186,,,pre_neb,0.5943
mp-557812,Ti3O,2.075,-0.2587999999523163,0.7406,0.4833,,,pre_neb,0.5936
mp-2766627,TiFeSi,1.986,-0.2558999955654144,0.7518,0.4748,,,pre_neb,0.5935
mp-1105077,Zr(Al2Fe)4,4.883,-0.652999997138977,0.3896,0.7463,,,pre_neb,0.5934
mp-1190013,TiNi,2.0,-0.7437000274658203,0.75,0.476,,,pre_neb,0.5934
mp-22903,RbI,0.117,-0.8126000165939331,0.9854,0.2948,,,pre_neb,0.5908
mp-1194044,V4Co2N,1.932,-0.7479000091552734,0.7585,0.4639,,,pre_neb,0.5901
mp-570258,Ca3(AlN2)2,4.391,-0.6712999939918518,0.4511,0.693,,,pre_neb,0.5893
mp-1215261,ZrVFe,1.992,-0.7470999956130981,0.751,0.4662,,,pre_neb,0.5882
mp-1209189,RbSr2Br5,6.263,-0.3928000032901764,0.2171,0.8662,,,pre_neb,0.588
mp-998536,RbCaBr3,6.75,-0.4135000109672546,0.1562,0.9107,,,pre_neb,0.5874
mp-1187702,VW3,1.182,-0.7749000191688538,0.8522,0.3888,,,pre_neb,0.5874
