material_id,formula,mismatch_pct,E_ads_eV,S_lattice,S_adsorption,barrier_eV,S_diffusion,score_mode,score
mp-1187695,V3Cr,0.74,-0.5849000215530396,0.9075,0.9138,,,pre_neb,0.9111
mp-5918,Hf2NiP,1.106,-0.4338999986648559,0.8618,0.9468,,,pre_neb,0.9104
mp-30811,Ni4W,1.673,-0.5037000179290771,0.7909,0.9998,,,pre_neb,0.9103
mp-12614,Ca2Cu,1.67,-0.4927000105381012,0.7912,0.9993,,,pre_neb,0.9102
mp-21371,VCoSi,1.323,-0.4476000070571899,0.8346,0.9663,,,pre_neb,0.9098
mp-11531,VNi2,1.398,-0.548799991607666,0.8252,0.9707,,,pre_neb,0.9083
mp-1217017,TiAl6Mo,1.719,-0.4986000061035156,0.7851,1.0,,,pre_neb,0.9079
mp-1882,CaCu5,1.717,-0.5070000290870667,0.7854,0.9994,,,pre_neb,0.9077
mp-865652,TiMn2Si,1.728,-0.5055000185966492,0.784,0.9996,,,pre_neb,0.9072
mp-1220426,NbNi6Mo,0.096,-0.6155999898910522,0.988,0.8462,,,pre_neb,0.907
mp-864996,AcMg5,1.561,-0.4630999863147735,0.8049,0.9831,,,pre_neb,0.9067
mp-10614,SrLiP,1.355,-0.5547000169754028,0.8306,0.9633,,,pre_neb,0.9064
mp-1194177,Ta3(Ni10B3)2,0.357,-0.39410001039505,0.9554,0.8692,,,pre_neb,0.9061
mp-570483,V5Si3,1.736,-0.4832000136375427,0.783,0.9965,,,pre_neb,0.905
mp-973865,PaAl3,1.754,-0.512499988079071,0.7808,0.998,,,pre_neb,0.9049
mp-20949,MnSiNi,1.727,-0.5192000269889832,0.7841,0.9954,,,pre_neb,0.9049
mp-10131,Zn3(Ni10B3)2,1.44,-0.4483999907970428,0.82,0.9673,,,pre_neb,0.9042
mp-1096925,CsBaI3,1.695,-0.4715000092983246,0.7881,0.9899,,,pre_neb,0.9034
mp-5407,TiAlCo2,1.797,-0.4936000108718872,0.7754,0.9995,,,pre_neb,0.9034
mp-15657,TiCoSi,1.577,-0.4582999944686889,0.8029,0.9785,,,pre_neb,0.9032
mp-1222208,Mg3(AlCu2)2,1.676,-0.531499981880188,0.7905,0.9877,,,pre_neb,0.9032
mp-1025223,Hf4Al3,1.559,-0.4562000036239624,0.8051,0.9763,,,pre_neb,0.9029
mp-714851,BN,0.847,-0.4126000106334686,0.8941,0.9089,,,pre_neb,0.9026
mp-956096,HfFe2,1.092,-0.5751000046730042,0.8635,0.9319,,,pre_neb,0.9026
mp-21524,SrNiN,1.084,-0.4232999980449676,0.8645,0.9291,,,pre_neb,0.9014
mp-10746,Mg2Cu3Si,0.727,-0.5949000120162964,0.9091,0.8935,,,pre_neb,0.9002
mp-567276,TaV2,0.459,-0.4866000115871429,0.9426,0.9978,0.2726,0.7274,with_neb,0.9001
mp-2856,Mn4Al11,1.869,-0.4952999949455261,0.7664,0.9997,,,pre_neb,0.8997
mp-5001,Li3BN2,1.672,-0.5415999889373779,0.791,0.9786,,,pre_neb,0.8982
mp-1215595,Zr2AlFe3,0.484,-0.6068000197410583,0.9395,0.8671,,,pre_neb,0.8981
mp-1208248,Ti2Cr4Si5,0.652,-0.5078999996185303,0.9185,0.9992,0.2578,0.7422,with_neb,0.8979
mp-7851,TaCo3,1.774,-0.5317000150680542,0.7782,0.9875,,,pre_neb,0.8978
mp-862555,LiY2Al,1.796,-0.4681999981403351,0.7755,0.9874,,,pre_neb,0.8966
mp-1094605,LiMg2,0.984,-0.4133999943733215,0.877,0.9105,,,pre_neb,0.8962
mp-1216666,TiNbCr4,1.174,-0.4226999878883362,0.8532,0.928,,,pre_neb,0.896
mp-2034417,LiMg2,1.965,-0.5,0.7544,1.0,,,pre_neb,0.8947
mp-1193912,Ti3(Ni10B3)2,1.004,-0.4129000008106231,0.8745,0.9095,,,pre_neb,0.8945
mp-7707,Zr(SiNi)2,0.565,-0.3937000036239624,0.9294,0.8683,,,pre_neb,0.8945
mp-865490,V2CrFe,1.759,-0.5401999950408936,0.7801,0.98,,,pre_neb,0.8943
mp-1223802,Hf2Al3Zn,0.659,-0.3964999914169311,0.9176,0.8747,,,pre_neb,0.8931
mp-1224642,HfAlFe,1.388,-0.5684999823570251,0.8265,0.943,,,pre_neb,0.8931
mp-1217895,TaMo,1.892,-0.5281999707221985,0.7635,0.9901,,,pre_neb,0.893
mp-15960,Li5AlO4,1.916,-0.4753000140190124,0.7605,0.9924,,,pre_neb,0.893
mp-1080233,CsSrCl3,0.889,-0.4063000082969665,0.8889,0.8961,,,pre_neb,0.893
mp-27898,Zr3AlN,0.693,-0.6028000116348267,0.9134,0.8763,,,pre_neb,0.8922
mp-973793,Li8SeN2,0.456,-0.6133000254631042,0.943,0.8518,,,pre_neb,0.8909
mp-570491,TaNi3,0.7,-0.603600025177002,0.9125,0.8744,,,pre_neb,0.8908
mp-568424,CaAlAu,1.602,-0.4422000050544739,0.7998,0.9591,,,pre_neb,0.8908
mp-1001835,LiB,0.203,-0.5016000270843506,0.9746,1.0,0.3394,0.6606,with_neb,0.8906
mp-1079688,Hf4CuSi4,0.645,-0.3937000036239624,0.9194,0.8683,,,pre_neb,0.8902
mp-11265,BaCaSn,1.417,-0.5699999928474426,0.8229,0.9406,,,pre_neb,0.8901
mp-1227020,CaZnAg,1.904,-0.53329998254776,0.762,0.9862,,,pre_neb,0.8901
mp-1221662,MnAl2Cr3,1.75,-0.5490000247955322,0.7812,0.9704,,,pre_neb,0.8894
mp-1216323,VMo,1.873,-0.5389000177383423,0.7659,0.9813,,,pre_neb,0.889
mp-2536,Ni2B,0.702,-0.4855000078678131,0.9122,0.9974,0.2797,0.7203,with_neb,0.8887
mp-567996,Nb5Si3,0.467,-0.6144000291824341,0.9416,0.8491,,,pre_neb,0.8887
mp-510409,TiSiNi,2.007,-0.4765999913215637,0.7491,0.9932,,,pre_neb,0.8886
mp-1228041,AlSiNi6,0.767,-0.6029000282287598,0.9041,0.876,,,pre_neb,0.8881
mp-28049,BaBrCl,1.805,-0.4530999958515167,0.7744,0.9729,,,pre_neb,0.8878
mp-1545421,Mn3Co,1.686,-0.5565000176429749,0.7892,0.9609,,,pre_neb,0.8873
mp-1095442,HfVP,1.932,-0.4634999930858612,0.7585,0.9835,,,pre_neb,0.8871
mp-1216643,V10Si6B,2.105,-0.4959999918937683,0.7369,0.9998,,,pre_neb,0.8871
mp-1222214,Mg3(AlCu2)2,1.072,-0.4090000092983246,0.866,0.9017,,,pre_neb,0.8864
mp-2517,Ca2Si,0.991,-0.5949000120162964,0.8761,0.8935,,,pre_neb,0.8861
mp-1212442,Hf5Si3N,2.13,-0.5054000020027161,0.7338,0.9996,,,pre_neb,0.8857
mp-1409,TiNi3,2.125,-0.4912999868392944,0.7344,0.9991,,,pre_neb,0.8856
mp-864598,LiMg2Ag,2.012,-0.4695000052452087,0.7485,0.9884,,,pre_neb,0.8856
mp-30315,Ca3BN3,1.375,-0.5770999789237976,0.8281,0.9284,,,pre_neb,0.8854
mp-862691,Al2FeCo,0.7,-0.5257999897003174,0.9125,0.9917,0.2841,0.7159,with_neb,0.8852
mp-1102168,VCo2Ni,0.183,-0.6276000142097473,0.9771,0.8159,,,pre_neb,0.885
mp-9934,BaMgSi,1.644,-0.4372000098228454,0.7945,0.9519,,,pre_neb,0.8844
mp-12678,TaMn2,0.42,-0.619700014591217,0.9475,0.836,,,pre_neb,0.8838
mp-867120,TaMn2Al,0.456,-0.6184999942779541,0.943,0.839,,,pre_neb,0.8836
mp-5529,MnFe2Si,1.336,-0.4183000028133392,0.833,0.9199,,,pre_neb,0.8827
mp-995201,Ti5Si3C,1.214,-0.4122999906539917,0.8482,0.9083,,,pre_neb,0.8826
mp-9973,VB,0.876,-0.603600025177002,0.8905,0.8744,,,pre_neb,0.8813
mp-1094675,LiMg,2.146,-0.5249000191688538,0.7318,0.9923,,,pre_neb,0.8806
mp-823,TiCo,0.605,-0.6151000261306763,0.9244,0.8474,,,pre_neb,0.8804
mp-9938,Hf2Si,0.709,-0.6111000180244446,0.9114,0.857,,,pre_neb,0.8803
mp-5149,NbAlCo2,0.091,-0.6341999769210815,0.9886,0.7984,,,pre_neb,0.8799
mp-1212189,HfMnP,2.17,-0.4767000079154968,0.7288,0.9932,,,pre_neb,0.8799
mp-7832,BW,2.261,-0.5012999773025513,0.7174,1.0,,,pre_neb,0.8789
mp-538,CaAg,1.863,-0.555899977684021,0.7671,0.9617,,,pre_neb,0.8783
mp-1216388,Zr18Co5Sn4,2.144,-0.5328999757766724,0.732,0.9866,,,pre_neb,0.8775
mp-11533,ZrZnNi4,0.041,-0.637499988079071,0.9949,0.7895,,,pre_neb,0.8775
mp-1018178,Ba2Zn,0.385,-0.3747000098228454,0.9519,0.8218,,,pre_neb,0.8775
mp-22637,HfNbP,1.63,-0.572700023651123,0.7962,0.9361,,,pre_neb,0.8761
mp-2567,V3Si,2.127,-0.538100004196167,0.7341,0.982,,,pre_neb,0.8758
mp-1718,ZrFe2,0.342,-0.6280999779701233,0.9572,0.8145,,,pre_neb,0.8757
mp-571367,Hf(CoSi)2,0.88,-0.3921999931335449,0.89,0.8648,,,pre_neb,0.8756
mp-1217138,Ti3V2Si3,2.184,-0.5321999788284302,0.727,0.9871,,,pre_neb,0.8756
mp-15813,Mn3W3C,1.656,-0.42739999294281,0.793,0.9362,,,pre_neb,0.8749
mp-864889,ZrZn3,1.571,-0.5773000121116638,0.8036,0.928,,,pre_neb,0.8747
mp-2481,Mg2Cu,1.087,-0.5999000072479248,0.8641,0.8827,,,pre_neb,0.8747
mp-1215386,Zr3Ti2Si3,2.332,-0.488999992609024,0.7085,0.9985,,,pre_neb,0.8742
mp-864762,LiMg2Zn,2.022,-0.4501000046730041,0.7472,0.9694,,,pre_neb,0.8742
mp-672232,AlNi3,0.252,-0.6324999928474426,0.9685,0.803,,,pre_neb,0.8739
mp-1216621,TiW,2.328,-0.5142999887466431,0.709,0.9974,,,pre_neb,0.8738
mp-1206490,Nb2B2Mo,2.184,-0.5360999703407288,0.727,0.9838,,,pre_neb,0.8738
mp-1278,Zr2Si,2.354,-0.5108000040054321,0.7058,0.9985,,,pre_neb,0.8731
mp-7892,Mn2AlB2,2.332,-0.5203999876976013,0.7085,0.9948,,,pre_neb,0.8721
mp-568536,BaI2,0.212,-0.6351000070571899,0.9735,0.796,,,pre_neb,0.8721
mp-569776,TaNi3,2.376,-0.5130000114440918,0.703,0.9979,,,pre_neb,0.8715
mp-1195821,Zr3Cu8,2.177,-0.4578999876976013,0.7279,0.9781,,,pre_neb,0.8709
mp-1193305,Ta4Co2N,2.365,-0.5188000202178955,0.7044,0.9956,,,pre_neb,0.8708
mp-10895,Mn2AlV,2.093,-0.5515999794006348,0.7384,0.9673,,,pre_neb,0.8692
mp-20857,CoB,1.485,-0.586899995803833,0.8144,0.9099,,,pre_neb,0.869
mp-4955,AlVCo2,1.312,-0.5950000286102295,0.836,0.8933,,,pre_neb,0.8688
mp-569270,V3B4,1.06,-0.6057999730110168,0.8675,0.8694,,,pre_neb,0.8686
mp-1211648,KCaBr3,1.671,-0.4219000041484833,0.7911,0.9266,,,pre_neb,0.8685
mp-1102925,NbFeSi,0.401,-0.6309000253677368,0.9499,0.8072,,,pre_neb,0.8683
mp-570112,Cr3C2,1.604,-0.4180999994277954,0.7995,0.9196,,,pre_neb,0.8681
mp-2108,Ti5Si3,0.259,-0.457500010728836,0.9676,0.9777,0.3796,0.6204,with_neb,0.8675
mp-1103039,BaMgSi,2.091,-0.4447000026702881,0.7386,0.9625,,,pre_neb,0.8666
mp-1491,VB2,0.108,-0.3578000068664551,0.9865,0.7767,,,pre_neb,0.8666
mp-12723,CaAu,1.037,-0.3914999961853027,0.8704,0.8632,,,pre_neb,0.8663
mp-1216481,V3Cr3Si2,2.374,-0.4686999917030334,0.7032,0.9878,,,pre_neb,0.8659
mp-871,FeSi,1.211,-0.6019999980926514,0.8486,0.8781,,,pre_neb,0.8654
mp-3677,MgSiN2,1.219,-0.3982999920845032,0.8476,0.8787,,,pre_neb,0.8654
mp-1014,ZrMn2,0.861,-0.6169999837875366,0.8924,0.8427,,,pre_neb,0.864
mp-1042,HfSi,0.385,-0.483599990606308,0.9519,0.9966,0.4017,0.5983,with_neb,0.8637
mp-1057,Al3Ni2,0.505,-0.3693999946117401,0.9369,0.808,,,pre_neb,0.8632
mp-1106162,Nb3P,1.715,-0.5809000134468079,0.7856,0.9214,,,pre_neb,0.8632
mp-20255,TiCuSi,2.48,-0.4756999909877777,0.69,0.9926,,,pre_neb,0.8629
mp-1217247,Ti4CoNi,0.932,-0.384799987077713,0.8835,0.8471,,,pre_neb,0.8627
mp-1725,CaZn2,0.956,-0.3853999972343445,0.8805,0.8486,,,pre_neb,0.8623
mp-31187,TiAlFe2,2.07,-0.5629000067710876,0.7412,0.9517,,,pre_neb,0.8615
mp-1094156,LiMg2,2.2,-0.5547999739646912,0.725,0.9632,,,pre_neb,0.8611
mp-13155,Hf2Ag,2.539,-0.4785000085830688,0.6826,0.9942,,,pre_neb,0.8607
mp-1193521,V3(Co10B3)2,1.855,-0.4235000014305115,0.7681,0.9295,,,pre_neb,0.8603
mp-1217811,TaW,2.206,-0.5555999875068665,0.7243,0.9621,,,pre_neb,0.8602
mp-865965,Li2CaSi,2.423,-0.4612999856472015,0.6971,0.9815,,,pre_neb,0.8596
mp-1247440,Ca5VN5,2.609,-0.4905999898910522,0.6739,0.9989,,,pre_neb,0.8596
mp-28861,CsC8,0.464,-0.3650999963283539,0.942,0.7965,,,pre_neb,0.8589
mp-1183182,AcMgZn2,1.482,-0.4038000106811523,0.8148,0.8908,,,pre_neb,0.8582
mp-10797,CaSiNi2,1.265,-0.6054999828338623,0.8419,0.8701,,,pre_neb,0.858
mp-1220327,NbMo,2.507,-0.5335000157356262,0.6866,0.9861,,,pre_neb,0.8577
mp-1102138,TiCoP,1.278,-0.605400025844574,0.8402,0.8703,,,pre_neb,0.8574
mp-2454,TiFe2,1.23,-0.6075999736785889,0.8462,0.8653,,,pre_neb,0.8571
mp-862288,AlFe2W,1.472,-0.5982000231742859,0.816,0.8864,,,pre_neb,0.8563
mp-7692,Al(CrB)2,2.582,-0.4713000059127807,0.6772,0.9898,,,pre_neb,0.8558
mp-1200988,Hf7Cu10,2.66,-0.4837000072002411,0.6675,0.9967,,,pre_neb,0.8556
mp-11247,Li3Au,1.579,-0.5945000052452087,0.8026,0.8944,,,pre_neb,0.8551
mp-697076,Ti3Zn3C,2.252,-0.560699999332428,0.7185,0.955,,,pre_neb,0.8536
mp-7032,HfMoP,0.302,-0.3560999929904938,0.9622,0.7719,,,pre_neb,0.8535
mp-1192944,Ta4Ni2N,2.636,-0.5273000001907349,0.6705,0.9907,,,pre_neb,0.8535
mp-1224240,HfUC2,2.542,-0.4602000117301941,0.6822,0.9804,,,pre_neb,0.8526
mp-4595,VFe2Si,0.636,-0.367000013589859,0.9205,0.8016,,,pre_neb,0.8526
mp-24809,CaH2,1.663,-0.4070999920368194,0.7921,0.8977,,,pre_neb,0.8525
mp-1211673,Li7Mg8Zn9,0.6,-0.365200012922287,0.925,0.7968,,,pre_neb,0.8517
mp-998297,CsSrBr3,0.507,-0.3616999983787536,0.9366,0.7873,,,pre_neb,0.8513
mp-12802,AlCu3,1.078,-0.6180999875068665,0.8652,0.84,,,pre_neb,0.8508
mp-2105,Hf3Si2,0.37,-0.6432999968528748,0.9538,0.7736,,,pre_neb,0.8508
mp-569344,Zr(CoSi)2,0.333,-0.3551999926567077,0.9584,0.7694,,,pre_neb,0.8504
mp-1029267,CaZrN2,2.417,-0.4462999999523163,0.6979,0.9646,,,pre_neb,0.8503
mp-15812,Mn3Mo3C,1.75,-0.4090000092983246,0.7812,0.9017,,,pre_neb,0.8501
mp-861627,Ti2AlMo,0.196,-0.5641000270843506,0.9755,0.9499,0.4092,0.5908,with_neb,0.8499
mp-1007881,FeB,2.063,-0.5763000249862671,0.7421,0.9298,,,pre_neb,0.8494
mp-742,Ti2Cu,2.297,-0.5634999871253967,0.7129,0.9508,,,pre_neb,0.8489
mp-864809,AcZn3,0.365,-0.6455000042915344,0.9544,0.7675,,,pre_neb,0.8476
mp-568745,Rb2Te,1.489,-0.3957000076770782,0.8139,0.8729,,,pre_neb,0.8476
mp-7092,TiSi,0.915,-0.6263999938964844,0.8856,0.819,,,pre_neb,0.8475
mp-1101341,SrCaI4,1.796,-0.4083000123500824,0.7755,0.9002,,,pre_neb,0.8468
mp-3623,MnAlCo2,0.489,-0.6420000195503235,0.9389,0.7772,,,pre_neb,0.8465
mp-1008555,AlCu3,2.015,-0.5817000269889832,0.7481,0.9199,,,pre_neb,0.8463
mp-1014229,Ti2Zn,0.748,-0.4991999864578247,0.9065,1.0,0.419,0.581,with_neb,0.8462
mp-28742,Ca4Ni3C5,0.097,-0.3445000052452087,0.9879,0.7392,,,pre_neb,0.8457
mp-1245429,MgZrN2,0.708,-0.4808000028133392,0.9115,0.9954,0.4209,0.5791,with_neb,0.8453
mp-1014252,Hf3ZnN,2.25,-0.4291999936103821,0.7188,0.9393,,,pre_neb,0.8448
mp-7574,AlBMo,2.391,-0.5626999735832214,0.7011,0.952,,,pre_neb,0.8445
mp-542614,VCo3,0.685,-0.6366000175476074,0.9144,0.792,,,pre_neb,0.8444
mp-1183232,AlNi3,0.884,-0.6297000050544739,0.8895,0.8104,,,pre_neb,0.8443
mp-2716,TiNi,2.836,-0.4754999876022339,0.6455,0.9925,,,pre_neb,0.8438
mp-30052,Ni6Mo6C,2.893,-0.4857999980449676,0.6384,0.9975,,,pre_neb,0.8436
mp-1014227,Ti2ZnN,1.742,-0.4025000035762787,0.7822,0.888,,,pre_neb,0.8427
mp-1069057,Sr(CoSi)2,2.184,-0.4234000146389007,0.727,0.9293,,,pre_neb,0.8426
mp-13944,Li3AlN2,2.777,-0.5354999899864197,0.6529,0.9844,,,pre_neb,0.8423
mp-1218218,TaFe,1.638,-0.602400004863739,0.7952,0.8772,,,pre_neb,0.8421
mp-1215204,ZrTi2O,1.313,-0.3840999901294708,0.8359,0.8454,,,pre_neb,0.8413
mp-1056920,CsI,2.853,-0.4708000123500824,0.6434,0.9894,,,pre_neb,0.8411
mp-30156,LiMgN,0.205,-0.3452000021934509,0.9744,0.7412,,,pre_neb,0.8411
mp-11750,Ti6Si2B,2.817,-0.4657000005245209,0.6479,0.9854,,,pre_neb,0.8407
mp-1070152,Ca(CoSi)2,2.988,-0.4988999962806701,0.6265,1.0,,,pre_neb,0.8399
mp-1224488,HfAlFe,1.886,-0.593500018119812,0.7642,0.8965,,,pre_neb,0.8398
mp-1217093,Ti2NbAl,2.583,-0.5562999844551086,0.6771,0.9612,,,pre_neb,0.8394
mp-1205309,LiB,0.543,-0.3546999990940094,0.9321,0.768,,,pre_neb,0.8384
mp-8308,Ca3Ni7B2,1.348,-0.6168000102043152,0.8315,0.8432,,,pre_neb,0.8382
mp-1217152,Ti2O,1.818,-0.4016000032424927,0.7728,0.886,,,pre_neb,0.8375
mp-568643,RbC8,0.572,-0.3549999892711639,0.9285,0.7689,,,pre_neb,0.8373
mp-1101345,SrCaI4,0.895,-0.6341000199317932,0.8881,0.7987,,,pre_neb,0.837
mp-568077,TaFe2,0.421,-0.6502000093460083,0.9474,0.7543,,,pre_neb,0.837
mp-12724,SrZn,2.145,-0.415800005197525,0.7319,0.9152,,,pre_neb,0.8366
mp-13967,Nb5(CuSi)4,0.537,-0.5101000070571899,0.9329,0.9987,0.4762,0.5238,with_neb,0.8365
mp-2726,SrCu5,0.226,-0.4675000011920929,0.9718,0.9869,0.4998,0.5002,with_neb,0.8363
mp-597,TiNi,2.48,-0.5666999816894531,0.69,0.9459,,,pre_neb,0.8362
mp-30129,Li4TaN3,0.708,-0.3585000038146972,0.9115,0.7786,,,pre_neb,0.8355
mp-974038,Ni2W4C,0.092,-0.3379000127315521,0.9885,0.72,,,pre_neb,0.8351
mp-15779,Mg2SiNi3,0.18,-0.6593999862670898,0.9775,0.7279,,,pre_neb,0.8349
mp-29910,Sr4I6O,0.892,-0.6358000040054321,0.8885,0.7941,,,pre_neb,0.8346
mp-1188373,Si3Mo5,2.189,-0.5843999981880188,0.7264,0.9148,,,pre_neb,0.8341
mp-12659,Mn2Nb,0.986,-0.6333000063896179,0.8768,0.8008,,,pre_neb,0.8334
mp-864984,MnV3,1.74,-0.3948000073432922,0.7825,0.8708,,,pre_neb,0.833
mp-10887,HfAlCu2,2.702,-0.5566999912261963,0.6622,0.9606,,,pre_neb,0.8327
mp-1209161,RbSr2Cl5,1.215,-0.3736000061035156,0.8481,0.819,,,pre_neb,0.8315
mp-1217893,TaNbAl6,2.774,-0.553600013256073,0.6532,0.9647,,,pre_neb,0.8312
mp-1029921,Ca3Al3N5,1.332,-0.6226999759674072,0.8335,0.8285,,,pre_neb,0.8306
mp-24286,ZrH2,0.344,-0.3431999981403351,0.957,0.7354,,,pre_neb,0.8304
mp-1189690,TaCoB2,2.057,-0.4054000079631805,0.7429,0.8942,,,pre_neb,0.8293
mp-1101952,HfSiNi,3.084,-0.5281000137329102,0.6145,0.9902,,,pre_neb,0.8292
mp-973908,PaFe3,3.18,-0.4878000020980835,0.6025,0.9981,,,pre_neb,0.8286
mp-1215168,ZrVMo,0.321,-0.6588000059127808,0.9599,0.7296,,,pre_neb,0.8283
mp-530262,Li15Cr2N9,3.06,-0.4666000008583069,0.6175,0.9862,,,pre_neb,0.8282
mp-819,HfCr2,0.122,-0.6653000116348267,0.9848,0.7107,,,pre_neb,0.8281
mp-20147,ZrMnP,2.506,-0.4262000024318695,0.6868,0.9342,,,pre_neb,0.8281
mp-1094568,LiMg,1.73,-0.6093999743461609,0.7837,0.861,,,pre_neb,0.8279
mp-4922,MnAlNi2,1.68,-0.6118999719619751,0.79,0.8551,,,pre_neb,0.8272
mp-1018651,Ba2H3I,0.591,-0.3492999970912933,0.9261,0.7529,,,pre_neb,0.8271
mp-1808,Ti2Ni,0.628,-0.3501000106334686,0.9215,0.7551,,,pre_neb,0.8264
mp-7285,HfNi3,0.448,-0.4799999892711639,0.944,0.995,0.5162,0.4838,with_neb,0.8263
mp-1207263,Zr6FeSn2,2.448,-0.5787000060081482,0.694,0.9255,,,pre_neb,0.8263
mp-4549,SrSiN2,2.354,-0.4165000021457672,0.7058,0.9165,,,pre_neb,0.8262
mp-1208170,TiVP,2.124,-0.595300018787384,0.7345,0.8927,,,pre_neb,0.8249
mp-11449,HfMn2,1.581,-0.6175000071525574,0.8024,0.8415,,,pre_neb,0.8247
mp-571247,Al3Mo,2.87,-0.4433000087738037,0.6412,0.9606,,,pre_neb,0.8237
mp-1216661,TiZnCu2,0.39,-0.659500002861023,0.9512,0.7276,,,pre_neb,0.8235
mp-1217142,Ti2CN,0.148,-0.3327000141143799,0.9815,0.7048,,,pre_neb,0.8234
mp-1217052,Ti6P2O,3.186,-0.4702000021934509,0.6018,0.989,,,pre_neb,0.823
mp-1080757,Ta2CrB2,0.845,-0.6449999809265137,0.8944,0.7689,,,pre_neb,0.8227
mp-555585,BaF2,2.288,-0.4095999896526336,0.714,0.9029,,,pre_neb,0.8219
mp-1102537,NbVP,2.927,-0.4442000091075897,0.6341,0.9618,,,pre_neb,0.8214
mp-865011,Mn2NbAl,0.774,-0.6484000086784363,0.9032,0.7594,,,pre_neb,0.821
mp-30619,Zr3Co,3.075,-0.4548999965190887,0.6156,0.9749,,,pre_neb,0.8209
mp-862632,LiCa2Al,2.279,-0.4079000055789947,0.7151,0.8994,,,pre_neb,0.8204
mp-1213703,Cs3Ca2Cl7,2.986,-0.5532000064849854,0.6267,0.9652,,,pre_neb,0.8202
mp-1198615,ZrCo5Si3,3.188,-0.5360999703407288,0.6015,0.9838,,,pre_neb,0.82
mp-12752,Zr4Al3,3.083,-0.4539999961853027,0.6146,0.9739,,,pre_neb,0.8199
mp-675452,Ti20H2N17,0.774,-0.3504000008106231,0.9032,0.756,,,pre_neb,0.8191
mp-19789,Mn(BW)2,3.295,-0.4749999940395355,0.5881,0.9922,,,pre_neb,0.819
mp-568901,NbFe2,0.52,-0.6579999923706055,0.935,0.7319,,,pre_neb,0.819
mp-1218041,TaAlNi6,2.355,-0.5899999737739563,0.7056,0.9037,,,pre_neb,0.8188
mp-1187697,V3Fe,1.64,-0.6194999814033508,0.795,0.8365,,,pre_neb,0.8187
mp-972236,V2MoW,3.346,-0.4826000034809112,0.5818,0.9962,,,pre_neb,0.8186
mp-865939,LiMg2,0.879,-0.3535000085830688,0.8901,0.7647,,,pre_neb,0.8185
mp-242,SrB6,0.26,-0.3330000042915344,0.9675,0.7057,,,pre_neb,0.8179
mp-1215478,Zr2VCo3,0.744,-0.6517000198364258,0.907,0.75,,,pre_neb,0.8173
mp-1070761,Ni(BW)2,0.655,-0.654699981212616,0.9181,0.7414,,,pre_neb,0.8172
mp-485,ZrNi3,1.556,-0.6237999796867371,0.8055,0.8257,,,pre_neb,0.817
mp-450,NbB2,2.743,-0.5723000168800354,0.6571,0.9367,,,pre_neb,0.8169
mp-17012,Sr2VN3,3.412,-0.4900999963283539,0.5735,0.9988,,,pre_neb,0.8165
mp-690794,Sr2HN,1.846,-0.3867999911308288,0.7692,0.852,,,pre_neb,0.8165
mp-1215552,Zr2AlFe3,0.129,-0.6728000044822693,0.9839,0.6885,,,pre_neb,0.8151
mp-1934,LiZn,2.867,-0.5670999884605408,0.6416,0.9453,,,pre_neb,0.8151
mp-12777,AlCu3,2.04,-0.6068000197410583,0.745,0.8671,,,pre_neb,0.8148
mp-22901,KI,3.434,-0.4855000078678131,0.5708,0.9974,,,pre_neb,0.8145
mp-1218087,Ta3Mn8Al,0.127,-0.67330002784729,0.9841,0.687,,,pre_neb,0.8143
mp-866134,VFe3,0.076,-0.6754999756813049,0.9905,0.6804,,,pre_neb,0.8133
mp-30228,Li4HN,0.155,-0.5687999725341797,0.9806,0.9425,0.5275,0.4725,with_neb,0.813
mp-618324,ZrCo3B2,2.996,-0.4377999901771545,0.6255,0.9528,,,pre_neb,0.8125
mp-1214897,Al2(Ni7B2)3,1.649,-0.3761000037193298,0.7939,0.8254,,,pre_neb,0.8119
mp-24155,ZrH2,0.67,-0.3422000110149383,0.9162,0.7325,,,pre_neb,0.8113
mp-21306,TiCoSi,2.008,-0.6118000149726868,0.749,0.8554,,,pre_neb,0.8098
mp-1094491,SrMg2,2.414,-0.5949000120162964,0.6982,0.8935,,,pre_neb,0.8098
mp-12760,Zr6Al2Co,1.599,-0.6279000043869019,0.8001,0.8151,,,pre_neb,0.8087
mp-762319,Li4TiO4,3.453,-0.5321000218391418,0.5684,0.9872,,,pre_neb,0.8077
mp-22522,ZrCuSi,3.346,-0.5437999963760376,0.5818,0.9763,,,pre_neb,0.8072
mp-2078,TiCu,3.643,-0.501800000667572,0.5446,1.0,,,pre_neb,0.8048
mp-1094598,Li3Mg,0.428,-0.3305000066757202,0.9465,0.6983,,,pre_neb,0.8047
mp-1216707,TiNbC2,3.24,-0.4408000111579895,0.595,0.9571,,,pre_neb,0.8019
mp-8754,NaLiTe,2.427,-0.3980999886989593,0.6966,0.8783,,,pre_neb,0.8004
mp-1245,Sr2N,2.644,-0.4065999984741211,0.6695,0.8967,,,pre_neb,0.7993
mp-8306,Ba3FeN3,1.503,-0.6377000212669373,0.8121,0.789,,,pre_neb,0.7989
mp-24726,TiH2,3.747,-0.5087000131607056,0.5316,0.9991,,,pre_neb,0.7987
mp-5723,ZrAlNi,1.704,-0.3691000044345855,0.787,0.8072,,,pre_neb,0.7985
mp-585949,CaCu,3.728,-0.5164999961853027,0.534,0.9966,,,pre_neb,0.7983
mp-1192264,Ti2Cu,1.181,-0.3503000140190124,0.8524,0.7557,,,pre_neb,0.7971
