material_id,formula,energy_above_hull,n_elements,formula_sta,stability_passed,stability_min_dE_eV,stability_details,best_miller,best_mismatch_pct,best_mismatch_a_pct,best_mismatch_b_pct,best_angle_diff_deg,lattice_details,formula_ads,best_coverage_ML,best_n_Li,best_E_clean_eV,best_E_ads_system_eV,best_E_ads_eV,best_ads_status,best_path,best_barrier_eV,best_neb_status,ranked_mismatch_pct,ranked_E_ads_eV,S_lattice,S_adsorption,ranked_barrier_eV,S_diffusion,score_mode,score,final_rank,final_decision
mp-20211,Mn3Si,0.011287056422414,2,Mn3Si,True,,稳定: min dE = -0.000 eV/atom,"(1, 0, 0)",0.48,0.48,0.48,28.62,"film(3,3) Li(4,4)",Mn3Si,0.25,1.0,-525.43798828125,-527.7150268554688,-0.5419999957084656,success,bridge_to_hollow,0.0474000014364719,success,0.48,-0.5419999957084656,0.94,0.9782,0.0474,0.9526,with_neb,0.9591,32.0,入围：已完成综合评分
mp-28930,KC8,0.0,2,KC8,True,,稳定: min dE = -0.000 eV/atom,"(0, 1, 1)",0.562,0.562,0.001,28.62,"film(3,1) Li(5,4)",KC8,0.25,6.0,-1741.010009765625,-1754.1590576171875,-0.4569000005722046,success,,,,0.562,-0.4569000005722046,0.9298,0.977,,,pre_neb,0.9568,33.0,入围：已完成综合评分
mp-567705,TiAl2,0.0,2,TiAl2,True,,稳定: min dE = -0.002 eV/atom,"(0, 0, 1)",0.759,0.759,0.759,28.62,"film(3,3) Li(4,4)",TiAl2,1.0,7.0,-255.0599975585937,-270.8680114746094,-0.5235999822616577,success,,,,0.759,-0.5235999822616577,0.9051,0.9931,,,pre_neb,0.9554,34.0,入围：已完成综合评分
mp-984,BN,0.005704095,2,BN,True,,稳定: min dE = -0.033 eV/atom,"(0, 0, 1)",0.451,0.451,0.451,58.62,"film(6,6) Li(5,5)",BN,0.25,1.0,-284.4630126953125,-286.6430053710937,-0.4449999928474426,success,,,,0.451,-0.4449999928474426,0.9436,0.9629,,,pre_neb,0.9546,35.0,入围：已完成综合评分
mp-12317,SrCN2,0.000506667499999,3,SrCN2,True,,稳定: min dE = 0.000 eV/atom,"(0, 0, 1)",0.216,0.216,0.216,58.62,"film(3,3) Li(4,4)",SrCN2,0.25,1.0,-356.9159851074219,-359.0790100097656,-0.4287000000476837,success,,,,0.216,-0.4287000000476837,0.973,0.9384,,,pre_neb,0.9532,36.0,入围：已完成综合评分
mp-1095532,VSiNi,0.0,3,VSiNi,True,,稳定: min dE = -0.018 eV/atom,"(0, 0, 1)",0.845,0.845,0.076,28.62,"film(6,1) Li(7,2)",VSiNi,1.0,10.0,-685.781982421875,-707.927001953125,-0.4799000024795532,success,,,,0.845,-0.4799000024795532,0.8944,0.995,,,pre_neb,0.9519,37.0,入围：已完成综合评分
mp-1224303,HfAl2Zn,0.0,3,HfAl2Zn,True,,稳定: min dE = -0.047 eV/atom,"(0, 0, 1)",0.895,0.895,0.895,28.62,"film(3,3) Li(4,4)",HfAl2Zn,0.25,2.0,-232.0489959716797,-236.5290069580078,-0.5054000020027161,success,,,,0.895,-0.5054000020027161,0.8881,0.9996,,,pre_neb,0.9518,38.0,入围：已完成综合评分
mp-22258,HfSiMo,0.0,3,HfSiMo,True,,稳定: min dE = 0.000 eV/atom,"(0, 0, 1)",0.888,0.888,0.778,28.62,"film(6,3) Li(7,7)",HfSiMo,1.0,12.0,-882.7520141601562,-909.3870239257812,-0.4850000143051147,success,,,,0.888,-0.4850000143051147,0.889,0.9972,,,pre_neb,0.9508,39.0,入围：已完成综合评分
mp-1102732,HfSiW,0.0,3,HfSiW,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",0.839,0.679,0.839,28.62,"film(6,3) Li(7,7)",HfSiW,0.25,3.0,-936.7219848632812,-943.5029907226562,-0.5256999731063843,success,,,,0.839,-0.5256999731063843,0.8951,0.9918,,,pre_neb,0.9504,40.0,入围：已完成综合评分
mp-1218015,TaCoNi2,0.0,3,TaCoNi2,True,,稳定: min dE = -0.000 eV/atom,"(0, 1, 0)",0.38,0.38,0.161,28.62,"film(4,5) Li(7,7)",TaCoNi2,1.0,9.0,-748.2849731445312,-768.9920043945312,-0.566100001335144,success,,,,0.38,-0.566100001335144,0.9525,0.9468,,,pre_neb,0.9493,41.0,入围：已完成综合评分
mp-979267,Ta2FeMo,0.0,3,Ta2FeMo,True,,稳定: min dE = -0.000 eV/atom,"(1, 0, 0)",0.962,0.962,0.962,28.62,"film(2,2) Li(3,3)",Ta2FeMo,0.25,1.0,-506.31298828125,-508.5509948730469,-0.5037000179290771,success,,,,0.962,-0.5037000179290771,0.8798,0.9998,,,pre_neb,0.9484,42.0,入围：已完成综合评分
