material_id,formula,coverage_ML,n_Li,E_clean_eV,E_ads_system_eV,E_ads_eV,status
mp-22434,HfFeP,0.25,3,-1272.0460205078125,-1278.0050048828125,-0.2513999938964844,success
mp-22434,HfFeP,1.0,13,-1272.0460205078125,-1296.2669677734375,-0.1284999996423721,success
mp-22447,Zr3P,0.25,14,-3203.8330078125,-3231.111083984375,-0.2137999981641769,success
mp-22447,Zr3P,1.0,59,-3203.8330078125,-3273.77001953125,0.5493000149726868,success
mp-22489,HfCuSi,0.25,3,-988.9569702148438,-996.3499755859376,-0.7294999957084656,success
mp-22489,HfCuSi,1.0,14,-988.9569702148438,-1017.4739990234376,-0.3023000061511993,success
mp-2251,Li3N,0.25,1,-185.3099975585937,-188.89599609375,-1.8516000509262085,success
mp-2251,Li3N,1.0,5,-185.3099975585937,-199.45700073242188,-1.0947999954223633,success
mp-22522,ZrCuSi,0.25,3,-933.7860107421876,-940.6209716796876,-0.5437999963760376,success
mp-22522,ZrCuSi,1.0,14,-933.7860107421876,-951.4199829101562,0.4751000106334686,success
mp-22637,HfNbP,0.25,3,-888.2420043945312,-895.7410278320312,-0.7651000022888184,success
mp-22637,HfNbP,1.0,12,-888.2420043945312,-915.9299926757812,-0.572700023651123,success
mp-22709,TaNiB2,0.25,6,-2083.553955078125,-2100.0390625,-1.0128999948501587,success
mp-22709,TaNiB2,1.0,24,-2083.553955078125,-2124.27294921875,0.0379999987781047,success
mp-22735,Ca2Sn,0.25,4,-306.36199951171875,-313.5220031738281,-0.0553999990224838,success
mp-22735,Ca2Sn,1.0,19,-306.36199951171875,-325.8999938964844,0.7063000202178955,success
mp-22759,CoBW,0.25,4,-1727.449951171875,-1735.7349853515625,-0.3366999924182892,success
mp-22759,CoBW,1.0,19,-1727.449951171875,-1764.08203125,-0.1933999955654144,success
mp-22793,AlFe3C,0.25,1,-759.2520141601562,-761.5490112304688,-0.5619999766349792,success
mp-22793,AlFe3C,1.0,7,-759.2520141601562,-771.5120239257812,-0.0166999995708465,success
mp-2283,ZrCo,0.25,1,-375.1530151367188,-377.6180114746094,-0.7296000123023987,success
mp-2283,ZrCo,1.0,5,-375.1530151367188,-386.43798828125,-0.5224000215530396,success
mp-2286,Li2Se,0.25,1,-126.31800079345705,-131.1580047607422,-3.10509991645813,success
mp-2286,Li2Se,1.0,6,-126.31800079345705,-149.2760009765625,-2.091599941253662,success
mp-22862,NaCl,0.25,1,-109.56300354003906,-110.58200073242188,0.715499997138977,success
mp-22862,NaCl,1.0,5,-109.56300354003906,-116.84400177001952,0.2782999873161316,success
mp-22865,CsCl,0.25,2,-112.5510025024414,-117.5510025024414,-0.7652000188827515,success
mp-22865,CsCl,1.0,8,-112.5510025024414,-126.54299926757812,-0.0142000000923872,success
mp-22867,RbBr,0.25,2,-79.64099884033203,-84.9749984741211,-0.9323999881744384,success
mp-22867,RbBr,1.0,8,-79.64099884033203,-86.79000091552734,0.8410000205039978,success
mp-22888,CaBr2,0.25,3,-263.2560119628906,-269.56500244140625,-0.3684999942779541,success
mp-22888,CaBr2,1.0,15,-263.2560119628906,-289.6619873046875,-0.0256999991834163,success
mp-22898,KI,0.25,2,-66.68699645996094,-70.62699890136719,-0.2354999929666519,success
mp-22898,KI,1.0,9,-66.68699645996094,-79.6449966430664,0.2949000000953674,success
mp-22899,LiI,0.25,1,-71.22000122070312,-74.9749984741211,-2.020400047302246,success
mp-22899,LiI,1.0,6,-71.22000122070312,-67.98300170898438,2.274199962615967,success
