material_id,formula,passed,min_dE_eV,details
mp-619905,Ti9Se2,False,,材料本身不稳定（不在凸包上）
mp-761148,Ti9SnO20,False,,材料本身不稳定（不在凸包上）
mp-531696,Ti9ZnS16,False,,材料本身不稳定（不在凸包上）
mp-1017985,TiAg,False,,与 Li 反应: min dE = -0.110 eV/atom
mp-29160,TiAg2O3,False,,材料本身不稳定（不在凸包上）
mp-10810,TiAgF6,False,,材料本身不稳定（不在凸包上）
mp-1953,TiAl,True,,稳定: min dE = -0.000 eV/atom
mp-11809,TiAl2,True,,稳定: min dE = -0.002 eV/atom
mp-567705,TiAl2,True,,稳定: min dE = -0.002 eV/atom
mp-1101043,TiAl2O5,False,,材料本身不稳定（不在凸包上）
mp-4930,TiAl2O5,False,,材料本身不稳定（不在凸包上）
mp-1217015,TiAl2V,False,,材料本身不稳定（不在凸包上）
mp-1217009,TiAl2Zn,True,,稳定: min dE = -0.036 eV/atom
mp-542915,TiAl3,True,,稳定: min dE = -0.032 eV/atom
mp-998981,TiAl3,True,,稳定: min dE = -0.032 eV/atom
mp-1217285,TiAl4Ni15,False,,材料本身不稳定（不在凸包上）
mp-1217017,TiAl6Mo,True,,稳定: min dE = -0.034 eV/atom
mp-16481,TiAlAu,False,,与 Li 反应: min dE = -0.158 eV/atom
mp-1217022,TiAlAu2,False,,材料本身不稳定（不在凸包上）
mp-16482,TiAlAu2,False,,材料本身不稳定（不在凸包上）
mp-1217016,TiAlCo2,True,,稳定: min dE = 0.000 eV/atom
mp-5407,TiAlCo2,True,,稳定: min dE = 0.000 eV/atom
mp-1217088,TiAlCr,False,,材料本身不稳定（不在凸包上）
mp-1217214,TiAlCu,False,,材料本身不稳定（不在凸包上）
mp-4771,TiAlCu2,True,,稳定: min dE = -0.000 eV/atom
mp-1217171,TiAlFe,False,,材料本身不稳定（不在凸包上）
mp-1217020,TiAlFe2,True,,稳定: min dE = -0.000 eV/atom
mp-31187,TiAlFe2,True,,稳定: min dE = -0.000 eV/atom
mp-1217084,TiAlNi,False,,材料本身不稳定（不在凸包上）
mp-7187,TiAlNi2,True,,稳定: min dE = -0.000 eV/atom
mp-1217044,TiAlNi6,True,,稳定: min dE = -0.000 eV/atom
mp-774520,TiAlO3,False,,材料本身不稳定（不在凸包上）
mp-998972,TiAu,False,,与 Li 反应: min dE = -0.175 eV/atom
mp-998985,TiAu,False,,与 Li 反应: min dE = -0.175 eV/atom
mp-1018123,TiAu2,False,,与 Li 反应: min dE = -0.239 eV/atom
mp-1187512,TiAu3,False,,材料本身不稳定（不在凸包上）
mp-12635,TiAu4,False,,与 Li 反应: min dE = -0.351 eV/atom
mp-7857,TiB,True,,稳定: min dE = 0.000 eV/atom
mp-1145,TiB2,True,,稳定: min dE = -0.000 eV/atom
mp-1217028,TiB2Mo,True,,稳定: min dE = -0.000 eV/atom
mp-1217023,TiB2W,False,,材料本身不稳定（不在凸包上）
mp-1217026,TiB4Mo,False,,材料本身不稳定（不在凸包上）
mp-9716,TiBO3,False,,材料本身不稳定（不在凸包上）
mp-27785,TiBr2,False,,材料本身不稳定（不在凸包上）
mp-28214,TiBr3,False,,与 Li 反应: min dE = -0.644 eV/atom
mp-571065,TiBr3,False,,与 Li 反应: min dE = -0.644 eV/atom
mp-27634,TiBr4,False,,与 Li 反应: min dE = -0.704 eV/atom
mp-569814,TiBr4,False,,与 Li 反应: min dE = -0.704 eV/atom
mp-27849,TiBrN,False,,与 Li 反应: min dE = -0.608 eV/atom
mp-23002,TiBrO,False,,材料本身不稳定（不在凸包上）
mp-631,TiC,True,,稳定: min dE = -0.000 eV/atom
mp-28116,TiCl2,False,,材料本身不稳定（不在凸包上）
mp-2017901,TiCl3,False,,与 Li 反应: min dE = -0.646 eV/atom
mp-2036706,TiCl3,False,,与 Li 反应: min dE = -0.646 eV/atom
mp-23275,TiCl3,False,,与 Li 反应: min dE = -0.646 eV/atom
mp-567330,TiCl3,False,,与 Li 反应: min dE = -0.646 eV/atom
mp-567354,TiCl3,False,,与 Li 反应: min dE = -0.646 eV/atom
mp-568230,TiCl3,False,,与 Li 反应: min dE = -0.646 eV/atom
mp-569756,TiCl3,False,,与 Li 反应: min dE = -0.646 eV/atom
mp-1207863,V(AgO)4,False,,材料本身不稳定（不在凸包上）
mp-1314097,V(CO3)2,False,,材料本身不稳定（不在凸包上）
mp-752541,V(CO3)2,False,,材料本身不稳定（不在凸包上）
mp-757524,V(CO3)2,False,,材料本身不稳定（不在凸包上）
mp-758621,V(CO3)2,False,,材料本身不稳定（不在凸包上）
mp-762249,V(CO3)2,False,,材料本身不稳定（不在凸包上）
mp-763508,V(CO3)2,False,,材料本身不稳定（不在凸包上）
mp-530941,V(CoO2)2,False,,材料本身不稳定（不在凸包上）
mp-1025322,V(CoSe2)2,False,,材料本身不稳定（不在凸包上）
mp-1216997,V(Cr7S10)2,False,,材料本身不稳定（不在凸包上）
mp-4253,V(CrC)2,False,,材料本身不稳定（不在凸包上）
mp-1025224,V(CrS2)2,False,,材料本身不稳定（不在凸包上）
mp-1216843,V(CrS2)2,False,,材料本身不稳定（不在凸包上）
mp-1216563,V(CrSi3)2,False,,材料本身不稳定（不在凸包上）
mp-1025344,V(CrTe2)2,False,,材料本身不稳定（不在凸包上）
mp-1216600,V(CrTe2)2,False,,材料本身不稳定（不在凸包上）
mp-34864,V(FeO2)2,False,,材料本身不稳定（不在凸包上）
mp-1216724,V(FeS2)2,False,,材料本身不稳定（不在凸包上）
mp-1078113,V(FeSe2)2,False,,材料本身不稳定（不在凸包上）
mp-1216826,V(FeSe2)2,False,,材料本身不稳定（不在凸包上）
mp-1192730,V(MoS2)2,False,,材料本身不稳定（不在凸包上）
mp-555370,V(MoS2)2,False,,材料本身不稳定（不在凸包上）
mp-30540,V(NiP4)4,False,,材料本身不稳定（不在凸包上）
mp-15361,V(PO3)3,False,,与 Li 反应: min dE = -0.836 eV/atom
mp-20435,V(PO3)3,False,,与 Li 反应: min dE = -0.836 eV/atom
mp-26226,V(PO3)3,False,,与 Li 反应: min dE = -0.836 eV/atom
mp-705305,V(PO3)3,False,,与 Li 反应: min dE = -0.836 eV/atom
mp-767740,V(PO3)3,False,,与 Li 反应: min dE = -0.836 eV/atom
mp-26322,V(PO3)4,False,,材料本身不稳定（不在凸包上）
mp-26802,V(PO3)4,False,,材料本身不稳定（不在凸包上）
mp-26834,V(PO3)4,False,,材料本身不稳定（不在凸包上）
mp-26916,V(PO3)4,False,,材料本身不稳定（不在凸包上）
mp-26956,V(PO3)4,False,,材料本身不稳定（不在凸包上）
mp-32509,V(PO3)4,False,,材料本身不稳定（不在凸包上）
mp-32527,V(PO3)4,False,,材料本身不稳定（不在凸包上）
mp-697797,V(PO3)4,False,,材料本身不稳定（不在凸包上）
