material_id,formula,energy_above_hull,n_elements
mp-554883,Al(HO)3,0.034175811428571005,3
mp-555462,Al(HO)3,0.04202307928571301,3
mp-560196,Al(HO)3,0.034089088928571,3
mp-560572,Al(HO)3,0.030599704821429003,3
mp-625316,Al(HO)3,0.043266912142857,3
mp-625318,Al(HO)3,0.038615695000000005,3
mp-625320,Al(HO)3,0.053422598571428004,3
mp-625739,Al(HO)3,0.044631200892856,3
mp-625762,Al(HO)3,0.05078655124999901,3
mp-625774,Al(HO)3,0.042446420000000006,3
mp-625807,Al(HO)3,0.061196668214285,3
mp-626073,Al(HO)3,0.080649469642857,3
mp-626074,Al(HO)3,0.041829395535714006,3
mp-626094,Al(HO)3,0.046754377142857004,3
mp-626103,Al(HO)3,0.035112053214285004,3
mp-626414,Al(HO)3,0.036063947857142,3
mp-626431,Al(HO)3,0.034632219999999006,3
mp-626435,Al(HO)3,0.025205606071428,3
mp-626467,Al(HO)3,0.072995187857142,3
mp-626470,Al(HO)3,0.027601393214285,3
mp-626481,Al(HO)3,0.073199170178571,3
mp-626496,Al(HO)3,0.027995735178571002,3
mp-626497,Al(HO)3,0.041428005000000004,3
mp-626500,Al(HO)3,0.05800073785714201,3
mp-626502,Al(HO)3,0.029189281964285003,3
mp-626504,Al(HO)3,0.044849327857142005,3
mp-626568,Al(HO)3,0.064677546428572,3
mp-626587,Al(HO)3,0.044864444107143006,3
mp-626605,Al(HO)3,0.045947700892857005,3
mp-626631,Al(HO)3,0.08832024053571401,3
mp-626654,Al(HO)3,0.072709314285714,3
mp-777738,Al(HO)3,0.042224117857142,3
mp-985293,Al(HO)3,0.028996113928570003,3
mp-672352,Al(ICl2)3,0.0,3
mp-555903,Al(IO3)3,0.0,3
mp-3861,Al(MoS2)4,0.027628997820514003,3
mp-554868,Al(MoS2)4,0.02527796628205,3
mp-505473,Al(Ni10B7)2,0.029769778000000004,3
mp-866315,Al(Ni3B2)4,0.0,3
mp-768600,Al(NiO2)2,0.013075619285715,3
mp-1045119,Al(NiO2)3,0.053165844583335,3
mp-1019377,Al(PO3)3,0.0,3
mp-14011,Al(PO3)3,0.009904427403846,3
mp-540549,Al(PO3)3,0.020789314166668002,3
mp-559996,Al(PO3)3,0.014757739807692,3
mp-683984,Al(SeCl)4,0.0,3
mp-574529,Al(SeCl2)2,0.0,3
mp-731836,Al(Si2O5)2,0.08854463497222201,3
mp-726892,Al(SiO3)2,0.09135175208333501,3
mp-540628,Al(TeCl2)2,0.0,3
mp-1229062,Al(V4Si)3,0.005135436874995,3
mp-1229114,Al(V4Sn)3,0.0035472793749970004,3
mp-1103718,Al(VS2)4,0.006691719230768001,3
mp-2014966,Al(VS2)4,0.0,3
mp-2758269,Al(VS2)4,0.002610035384615,3
mp-1047756,Al(WF5)3,0.087780653684212,3
mp-1247851,Al10Si2O19,0.068641079354838,3
mp-1247887,Al10Si2O19,0.057049679354839004,3
mp-28503,Al10Si2O19,0.06297323790322601,3
mp-16722,Al10V,0.0234553675,2
mp-760795,Al10ZnO16,0.020921847037038,3
mp-1214980,Al11(CoSi)6,0.0,3
mp-1183021,Al11(PO4)12,0.057792920792254,3
mp-766293,Al11AgO17,0.023639298793103003,3
mp-849760,Al11AgO17,0.023978703965517,3
mp-1214894,Al11Cr4,0.002587619199999,2
mp-675682,Al11NO15,0.042179937037037006,3
mp-17017,Al12Co4Cu,0.0024235983333310003,3
mp-1214901,Al12Fe7,0.013503348070174,2
mp-550,Al12Mo,0.014142691923076002,2
mp-11227,Al12W,0.015203685384616002,2
mp-505572,Al13(CrSi)4,0.006798542448981,3
mp-1262123,Al13(CuS8)3,0.097958106666665,3
mp-1264143,Al13(CuSe8)3,0.087761081625,3
mp-1198336,Al13Co4,0.012247626556373,2
mp-30751,Al13Co4,0.010762535183824001,2
mp-1202900,Al13Fe4,0.0,2
mp-1258739,Al14(CuS8)3,0.047200048617881005,3
mp-1248857,Al14(CuSe8)3,0.0561360097561,3
mp-645302,Al14Co5Si2,0.008050100848214,3
mp-765944,Al15Fe9O32,0.006927987321420001,3
mp-675472,Al17(NO7)3,0.042113377317074006,3
mp-570651,Al17Mo4,0.0029463032142870004,2
mp-1229050,Al18Co5Ni3,0.010244309254808001,3
mp-1215090,Al19Co6,0.008887402599999001,2
mp-757340,Al19CrO30,0.004100194449998,3
mp-1029975,Al2(CN2)3,0.0,3
mp-1257684,Al2(CuSe2)3,0.079038712272728,3
mp-29110,Al2(FeSi)3,0.0,3
mp-19521,Al2(MoO4)3,0.0,3
mp-559796,Al2(MoO4)3,0.000897390441178,3
mp-1214897,Al2(Ni7B2)3,0.0,3
mp-1193708,Al2(PS3)3,0.020842249157372,3
mp-2713752,Al2(SO4)3,0.006322040196078,3
mp-4417,Al2(SO4)3,0.0,3
mp-756970,Al2(SeO4)3,0.0,3
mp-780398,Al2(SeO4)3,0.025949298676471003,3
mp-1182999,Al2(WO4)3,0.061841512867648,3
mp-19516,Al2(WO4)3,0.059741442573532005,3
mp-542093,Al2(WO4)3,0.059831024485294,3
mp-560318,Al2(WO4)3,0.06091105727941001,3
mp-1228987,Al2(ZnS2)3,0.024000783311688003,3
mp-568153,Al22Mo5,0.007330721481483,2
mp-530274,Al23B50,0.0,2
mp-30335,Al23V4,0.020866189629629002,2
mp-531864,Al24Zn3O40,0.053936163134326004,3
mp-1229168,Al27(FeNi2)2,0.0,3
mp-2647,Al2Au,0.0,2
